Time, Altitude, U, V, W, Temperature
22.812022,-13744.75982,-0.46,-0.26,-0.56,22.37
22.900552,8425.146877,-0.46,-0.26,-0.52,22.41
22.990011,-11523.59988,-0.52,-0.32,-0.54,22.33
23.079057,-10913.04508,-0.38,-0.1,-0.8,22.29
23.16842,3098.054239,-0.32,-0.12,-0.82,22.21
23.2576,-6627.219852,-0.04,0.06,-0.92,22.33
23.347266,-14484.55454,0.02,0.08,-0.94,22.29
23.43729,-10660.10646,0.46,0.02,-1.04,22.45
23.527188,8019.343114,0.46,0.04,-1.04,22.49
23.6163,7753.25751,0.44,0.08,-0.98,22.69
23.70546,-5412.807641,0.58,0.08,-0.84,22.37
23.794373,21722.92877,0.54,0.04,-0.8,22.41
23.882895,-13778.84483,0.7,0.14,-0.82,22.33
23.971674,-9959.742525,0.7,0.18,-0.8,22.45
24.060092,-3834.040677,0.66,0.12,-0.84,22.29
24.148979,-4895.863996,0.72,0.24,-0.72,22.21
24.237472,4798.348671,0.7,0.24,-0.74,22.17
24.326095,-396.592887,0.72,0.36,-0.56,21.97
24.414644,-8229.012789,0.64,0.36,-0.5,22.05
24.503587,-4059.717556,0.68,0.32,-0.56,21.85
24.582736,-3334.235803,0.36,0.64,-0.26,22.17
24.667142,-1425.313799,0.3,0.62,-0.24,22.25
24.753357,-10418.888,-0.04,0.36,-0.04,22.81
24.842008,16248.13547,-0.04,0.42,-0.02,22.93
24.930757,7499.975254,-0.06,0.36,-0.06,22.85
25.019921,-6228.373718,0,0.36,-0.02,23.29
25.109011,-12087.73066,-0.04,0.34,-0.04,23.25
25.198092,-8290.442553,0.04,0.16,0,22.93
25.28762,-9563.333981,-0.04,0.12,0.06,23.01
25.376451,-10703.61088,-0.02,-0.02,0.16,22.81
25.465688,-8841.222371,0.04,0,0.24,22.93
25.554333,7431.245656,0.04,-0.02,0.2,22.85
25.644174,-1925.177111,-0.02,-0.06,0.16,22.77
25.733119,4433.855277,-0.04,-0.08,0.16,22.73
25.822274,-9681.055022,-0.02,0.02,-0.02,22.61
25.911279,-6991.894199,-0.02,0.02,0,22.65
26.000399,-11088.39871,-0.02,-0.04,-0.02,22.61
26.089509,12103.42873,0.04,-0.06,-0.06,22.53
26.178565,1288.37914,0.02,-0.04,-0.06,22.57
26.268076,-3057.928907,-0.06,0,-0.04,22.77
26.352716,11185.50575,-0.02,0.04,-0.04,22.85
26.441356,-3834.432857,-0.04,0,-0.08,22.65
26.529382,-7879.693035,-0.06,0.1,-0.14,22.81
